Date,^BSESN,ADANIPORTS.BO,RELIANCE.BO,BAJFINANCE.BO,HDFCBANK.BO,TATAMOTORS.BO,TCS.BO,ITC.BO,ICICIBANK.BO,SBIN.BO,TECHM.BO,FEDERALBNK.BO,DLF.BO,BHARATFORG.BO,VOLTAS.BO,GAIL.BO,ACC.BO,NAUKRI.BO,TATAPOWER.BO,BANKBARODA.BO,AMBUJACEM.BO
12-03-2018,33468.16016,386,918.9000244,1664,927.7000122,344.5499878,1517.5,263,294.2999878,254,620.5,94.90000153,213,754.9500122,632,164.0812836,1535,1265.050049,80.5,131.0500031,236.6000061
13-03-2018,33818.21875,390,929.3499756,1665,929.6500244,351.9500122,1464,270,300.7000122,251.8500061,620,94.30000305,215,737,643.75,168.8437958,1560.5,1254.949951,80.5,132.0500031,242
14-03-2018,33733.55078,384,926.5499878,1665,925.0750122,352.8500061,1448,267.5499878,301.0499878,252.0500031,620,95.80000305,218,740,640,171.7500458,1570,1278.550049,81.30000305,139.6999969,239
15-03-2018,33843.46875,384,928.7000122,1718.699951,932.5,355,1445.574951,267.8500061,306.8999939,257.8999939,640,96,219,738,641,171.7500458,1617.099976,1270,80.34999847,144.1000061,244.9499969
16-03-2018,33685.85938,381.5,910,1710,949.4249878,352.8999939,1434.375,264.25,302.7999878,253,635.9500122,94.80000305,225.6000061,735.0499878,642,168.3750458,1600.150024,1275,80.19999695,143.8500061,242.1999969
19-03-2018,33268.96875,370.8999939,903.7999878,1695,929.9500122,341.8999939,1420.349976,260.6499939,298.1000061,253,632.3499756,94,226,737,629.1500244,167.8125458,1570,1283,80.44999695,144,237
20-03-2018,32876.48047,367,899.0999756,1631,920,335.75,1413.724976,258.7999878,292.5499878,247,605,90.69999695,212,703,621.3499756,165.3937836,1556.099976,1259.449951,78.75,131.5500031,230
21-03-2018,33090.82031,373.7000122,895.7999878,1656,927.5,340,1430.125,259.5,294.5499878,251,633,92.05000305,218,707.1500244,610,168.1125488,1579.25,1272.400024,80.19999695,137,230.0500031
22-03-2018,33206.98828,368,896.5,1705,931.4000244,339.7999878,1428,259.7999878,289.6000061,246.8999939,625.3499756,91.19999695,216,703.5999756,611,164.0625458,1561.550049,1255,79.69999695,137.8000031,230.3999939
23-03-2018,32650.89063,358,893.4000244,1668.150024,927.5,331,1403.349976,256.4500122,277,238.6000061,611,90,209.6999969,688.7999878,605.0499878,164.2125397,1539.050049,1247.400024,79.34999847,133,226.5
26-03-2018,32536.43945,365,892.8499756,1692,920.5,330,1408.349976,251.3000031,275.5499878,235,625,90.59999847,203.6999969,685,602.7999878,165.0562897,1526.099976,1210.400024,80.75,132.6000061,225.3500061
27-03-2018,33172.98047,367.1000061,905.0499878,1750,945,333.8999939,1410.050049,258,283,250.6999969,625,92,210.1999969,702.5499878,620,159.5,1543.949951,1217,80.84999847,145.1999969,230.6000061
