Date,ACC.NS,BANKBARODA.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,INDIGO.NS,INDUSTOWER.NS,NAUKRI.NS
24-05-2018,1320,137.75,196.3500061,1357,108.3833313,742.6333618,542.0999756,1144,318.7999878,1170
25-05-2018,1333.5,139,196.9499969,1427.900024,104.3333359,745.7666626,536.0499878,1174,318,1175.849976
28-05-2018,1324.900024,142.5,203.8000031,1507,107.5,750.2999878,547.5,1252.849976,315.8500061,1172.5
29-05-2018,1321.050049,144,206.5,1534.900024,110.7333298,749.166687,567.2000122,1247,312,1175.050049
30-05-2018,1300,138.8999939,202.9499969,1544,114.2333298,754.666687,547.9500122,1224.25,307,1211.5
31-05-2018,1315,139.1000061,208.4499969,1574.699951,114.3666687,758.666687,563,1244.949951,301.5499878,1300
01-06-2018,1361,137.6499939,210.4499969,1538.699951,116.4000015,765.5999756,544.75,1209.25,300.2000122,1260.199951
04-06-2018,1343,137.5,207.9499969,1534.050049,114.1999969,776.5666504,540.2999878,1194.699951,302,1221.199951
05-06-2018,1305.25,131.8999939,198.6499939,1483.400024,111.6833344,756.7000122,537,1179.949951,298.5,1186
06-06-2018,1285,127,198.4499969,1461.800049,111.3666687,756.3666382,527.7000122,1174,295,1200
07-06-2018,1326.800049,131.25,201.1000061,1530,111.1666641,766.2333374,538.4500122,1174,294.2000122,1208.599976
08-06-2018,1314,130.6000061,201,1547,111.3333359,774.9333496,548.5999756,1171,293.8999939,1226
11-06-2018,1315.900024,133.1499939,206.6999969,1601,114.4333344,782.666687,556.4500122,1190,299,1205
12-06-2018,1321,134,202.1000061,1600,115.2666626,761.9333496,560.7000122,1190,302,1197.800049
13-06-2018,1317.300049,133.9499969,205.25,1610,114.5,784.6333618,560,1197,300,1242.199951
14-06-2018,1331,137.1499939,204.25,1592,114.8166656,779.4000244,558,1218.949951,298,1212
15-06-2018,1309.650024,134.8500061,205.9499969,1551.800049,113,779.5999756,549.4500122,1208.849976,296.5,1259
18-06-2018,1302.400024,131,199.1000061,1515,111.5999985,773.333313,558,1240,292,1239.699951
19-06-2018,1296.5,129.8999939,199.3999939,1517,112.2833328,773.333313,547,1235,290.1000061,1198.949951
20-06-2018,1292,127.5,197.3999939,1488.150024,114.6666641,781.5666504,539.3499756,1221,288.2000122,1197.199951
21-06-2018,1280,125.6999969,201,1487,115.1333313,771.333313,539.5999756,1153,286.8999939,1198.599976
22-06-2018,1272,122.0999985,198.8500061,1496,113.7166672,773.333313,534.5999756,1179,278.9500122,1190
25-06-2018,1297,121.4499969,200.5,1490.800049,113.9000015,777.7333374,541.6500244,1187,285.8500061,1199
26-06-2018,1315.800049,116.5,196,1480,113.7333298,770.0333252,532,1172,290,1181
27-06-2018,1364.900024,118.0500031,196,1469.699951,113.8000031,800,533,1165.900024,291.9500122,1204
28-06-2018,1309,114.25,190.3000031,1455.800049,108.8000031,807.2999878,535,1135.900024,299,1179
29-06-2018,1299.449951,114,186.8000031,1438.599976,106.8833313,811.9000244,524.4000244,1100,300,1148
02-07-2018,1339.949951,113.4000015,189,1495.949951,113.4499969,817.666687,545.7999878,1093,301,1186.349976
03-07-2018,1318,113.5999985,184,1531.650024,112.6666641,823.5333252,533,1048,296,1213
04-07-2018,1334,113,185.1999969,1523.699951,114.3333359,834,540.0499878,1065,291.5,1169.949951
05-07-2018,1352,113.6999969,185.3000031,1549,115.9833298,844,545.0499878,1085,296.7000122,1172.349976
06-07-2018,1391.900024,113.5,181.5,1547,116.5,828.5999756,546.7999878,1082,300.4500122,1231
09-07-2018,1377,117,187.5,1578.099976,114.6999969,837.333313,553,1090,299.1000061,1230
10-07-2018,1378.800049,117.8000031,190,1578.400024,116,843.2666626,556.7999878,1088,301.9500122,1262
11-07-2018,1374,119,193.6000061,1596.699951,121.3333359,842.5333252,574.4000244,1097,305.2999878,1297.449951
12-07-2018,1362,117.1999969,192.8999939,1601,119.6666641,887.333313,569.6500244,1100,315,1339.199951
13-07-2018,1358.800049,119.6999969,190.5,1591,119.4666672,878.0333252,561.3499756,1130.099976,314,1314
16-07-2018,1341.800049,116.75,188,1575.900024,118.9333344,870,560.2000122,1107,302.7000122,1316
17-07-2018,1269.699951,112.8000031,177.0500031,1547,119.3333359,868.5333252,563,1119,299,1253
18-07-2018,1294,121,181.6999969,1565.099976,120.1833344,867.333313,559,1128,303.2000122,1265
19-07-2018,1294.800049,118,171.8999939,1552,120.1333313,886.4666748,564.9000244,1100,287,1323.849976
20-07-2018,1297,118.5999985,170.8000031,1526.5,119.5999985,873.4666748,563.9500122,1068.5,285,1294
23-07-2018,1295,120.5,170.5,1523.800049,120.4666672,862.2000122,574.9500122,1063.25,287,1269.5
24-07-2018,1400,125.0500031,179.4499969,1540,119.6333313,894.666687,613.2000122,1053.699951,287,1349
25-07-2018,1484.25,132.5500031,189.75,1577,123,900,601,1045,286,1363.949951
26-07-2018,1473,133.5,183.8500061,1566,121.5500031,909.7333374,602.0999756,1022,286,1461
27-07-2018,1530,138.8999939,191.0500031,1564,123.7166672,893.333313,614.5999756,1012,287.2999878,1403.949951
30-07-2018,1537.699951,149,190.1000061,1573.300049,126.6666641,872.2666626,624,1007.900024,290,1403
31-07-2018,1509,152.1499939,189.5,1625,126.1666641,873.7999878,624.25,930,290,1350
01-08-2018,1535,151.3999939,195.8999939,1655,125.6666641,886.4666748,636.75,935,287,1370
02-08-2018,1531.349976,147.9499969,192,1676,125.2166672,878,632,924.6500244,293.25,1380
03-08-2018,1546,147.25,189.6000061,1664,126.3666687,888.6333618,636.0499878,965.3499756,289.8999939,1370
06-08-2018,1528.400024,150,190,1657.800049,130,882.1333618,645.6500244,994.9000244,291.4500122,1375.300049
07-08-2018,1529,151,189.6000061,1636,126.4499969,878.7000122,659.4000244,1061,286.3999939,1409.900024
08-08-2018,1535,146.3000031,186.8000031,1626,125.9666672,866.4000244,679.7999878,1045.5,286,1450
09-08-2018,1538.099976,150.5,189.6000061,1633.800049,125.8333359,873.333313,678.5499878,1044.099976,291.2000122,1481
10-08-2018,1575,153.75,202.3999939,1613,125.1666641,865.333313,685.0999756,1070,290.2999878,1480.550049
13-08-2018,1541,146,195,1587.900024,121.3166656,859.0666504,669.8499756,1060,287.2000122,1486.400024
14-08-2018,1528,147,194.25,1570.800049,124.8833313,874.6333618,677.0499878,1058,285.2999878,1460
16-08-2018,1548,145.5,201.3500061,1570,126.5666656,866.666687,678.0999756,1050.099976,282,1472
17-08-2018,1562.199951,143.8500061,208.9499969,1568,131.3333282,893.333313,685,1057.400024,281,1435
20-08-2018,1601.900024,147,212.8000031,1640,130.0333405,902.5999756,680,1050,282.6000061,1490
21-08-2018,1604,153.3999939,214.8500061,1599,126.8333359,932,694.9500122,1086.900024,285.4500122,1489.800049
23-08-2018,1640.199951,151.3999939,209,1591.400024,126.9333344,927.2999878,699.7000122,1075.349976,288,1531
24-08-2018,1640,148.4499969,211,1560,128.3333282,941.333313,706.4000244,1034,283.3999939,1600
27-08-2018,1649,149,213.9499969,1569,128.0500031,936.2000122,701.4000244,1042,285.5499878,1581.599976
28-08-2018,1658.849976,151.3000031,214.5,1589,128.2666626,932.5333252,719,1049.699951,289.7999878,1550
29-08-2018,1624,144.5,213.6499939,1592,123.1333313,956.333313,719.7999878,1028,287.2000122,1555
30-08-2018,1614.849976,147.3999939,217.8500061,1602,123.0999985,958.2666626,710,961,282.2999878,1559
31-08-2018,1628.5,149.0500031,221.1000061,1591.900024,125.9666672,964,719,939.9500122,285.75,1574
03-09-2018,1631,153.9499969,213.1000061,1613.400024,125.2666626,974.7333374,722,934.7999878,289.0499878,1643
04-09-2018,1654,151.3000031,210.5,1595,122.7666626,953,713.8499756,935,291,1666.650024
05-09-2018,1582.5,145.3999939,202,1569,120,932.2999878,670,917.9500122,284,1677
06-09-2018,1563.949951,145.8999939,204.5,1564,121.5666656,898.0333252,665.7000122,876,266.3500061,1657
07-09-2018,1560,146.6499939,205.6000061,1570,122.9833298,876.666687,684,889.7999878,272,1634.849976
10-09-2018,1561,146.9499969,207.4499969,1558,125.6666641,889.666687,670,908,273.8999939,1639.699951
11-09-2018,1535.849976,148,205.3999939,1525,127.3166656,872.333313,644,891,275.25,1617
12-09-2018,1529,140.5,198.9499969,1509,124.6666641,832.2000122,635.9000244,890,270.2000122,1612.150024
14-09-2018,1562.099976,135.75,204.5,1533,123.6666641,877.9000244,650,893.7000122,270.7999878,1609.300049
17-09-2018,1587.800049,133.0500031,207,1534,123.2666626,856,655,884.8499756,274.7999878,1630
18-09-2018,1581,121.75,213,1525,124.2333298,853.4500122,663.4000244,894.4000244,268,1569.900024
19-09-2018,1565.550049,112,201.6999969,1540,125.4166641,860.2999878,650.25,862,268,1530.25
21-09-2018,1566,117.5,202.1000061,1526.900024,129.4499969,812.7999878,646.7999878,875,272.8999939,1511
24-09-2018,1530.099976,112.5,199.8500061,1505,130,830,634,875,280,1530
25-09-2018,1516,107.6999969,184.1000061,1450.75,126.8333359,798,624.9500122,846.5,277,1545.099976
26-09-2018,1570.800049,110.9499969,179.6999969,1460,124,791.25,633,853,270,1528.199951
27-09-2018,1588,108.5,181.8999939,1422,126.1833344,775.1500244,640,826.25,262,1529.849976
28-09-2018,1568.949951,105.1500015,173.5,1407,128.5333405,785.4000244,617,843.5999756,267.8500061,1468.699951
01-10-2018,1556,99.40000153,159,1390,127.2666626,774,591.4000244,812,262.8999939,1431.699951
03-10-2018,1565.699951,102.1999969,157.5,1340,126.9833298,802.4500122,595.5,790,267.6000061,1432.400024
04-10-2018,1484,101.5,150,1275,126.5999985,759.9500122,603.2000122,764,242.6499939,1362
05-10-2018,1515,102.9000015,157.0500031,1348.900024,116.3333359,714,605,784.5,254.8999939,1350
08-10-2018,1470,100,149.25,1332,110.0166626,713.9000244,591,766,260,1438
09-10-2018,1486,98.90000153,152.9499969,1305,114.3333359,701.4500122,572,775,266.7000122,1415
10-10-2018,1455.099976,93.75,155,1365,111.8166656,671,563,764.9500122,268.4500122,1449.25
11-10-2018,1428,91.94999695,155.8999939,1343,109.3333359,693.5999756,592,725,252.6999969,1400.800049
12-10-2018,1451.849976,96.90000153,155.6999969,1345,117.3000031,733,585,770.8499756,259.9500122,1455
15-10-2018,1502.050049,96.05000305,157.1499939,1334.800049,119.6333313,727.9500122,602.9000244,809.8499756,267.5499878,1530
16-10-2018,1523.150024,97.55000305,158.0500031,1330,117.0166626,725.1500244,604.9000244,825.0999756,268.6000061,1535.300049
17-10-2018,1573,102.4499969,161,1344.900024,118.9666672,759.9000244,614.8499756,870.0999756,268.7000122,1566.699951
19-10-2018,1480,98.90000153,142.8999939,1300,114.6666641,735,550,850,261,1500
22-10-2018,1424.400024,103.6500015,154,1240,115.8833313,746.8499756,605,831.7000122,266,1526.300049
23-10-2018,1409.900024,101.4000015,150.3000031,1180,113.6333313,746.0999756,580,781.3499756,264.6000061,1430
24-10-2018,1389.800049,102.6999969,156,1150,114.6999969,738.2000122,598.9500122,822.25,265.5499878,1502.099976
25-10-2018,1360.25,101,153.5,1155,113.6500015,720,593.0499878,786.6500244,260.1000061,1552.199951
26-10-2018,1370,99.30000305,155,1190,113.3333359,701.7999878,599.2000122,877.6500244,264.5,1591.400024
29-10-2018,1354,99.09999847,155,1234.25,114.5666656,713,609.4000244,869,263.5,1599
30-10-2018,1356.25,107.6999969,163.9499969,1295.699951,118,716.75,623.7999878,876,265.1499939,1575
31-10-2018,1349,114.6999969,163.8000031,1279,120.9499969,714,637.5999756,884,265,1562.199951
01-11-2018,1384,111.6999969,165.4499969,1348.699951,125.1166687,727.6500244,647,890,264.0499878,1566.050049
02-11-2018,1412.099976,108.9000015,178.8999939,1379.900024,123.0666656,709.8499756,649,954.5,262.7999878,1500
05-11-2018,1447,110,170,1477.949951,123.9666672,716,645.8499756,979.7999878,262.2999878,1456
06-11-2018,1479,112.25,174.0500031,1438,125.5,712,649.9000244,967,261.1499939,1415.199951
07-11-2018,1460.900024,111.25,174,1426,126,710,650,965.2000122,264.8999939,1385
09-11-2018,1457.400024,111,172.8999939,1429.449951,126,707.7999878,649.5499878,970.7999878,267.7999878,1382.050049
12-11-2018,1464.949951,111.5,175.5,1407,123,700,649.5,992,267.9500122,1415
13-11-2018,1435,108.9000015,170.3999939,1389.900024,121.3333359,693,649,953.4500122,258,1368
14-11-2018,1462,109.4000015,173.1999969,1378,122.0666656,683.25,669.2000122,1000,260,1390
15-11-2018,1478,112.9000015,163.8000031,1387,116.9000015,715,672.7999878,1039,261.9500122,1370.949951
16-11-2018,1516.800049,113.4499969,170.1499939,1396.400024,116.3333359,718,687.0999756,1043,257.7999878,1385
19-11-2018,1502.599976,116.4000015,170.25,1399.900024,114.1666641,730,674.7000122,1047.949951,259.5,1369
20-11-2018,1491,113.1999969,169.8999939,1412,112.6833344,728.3499756,683.9000244,1036.5,260,1384.5
21-11-2018,1475,111.0999985,174,1415,114.3333359,708,678,1070,259.0499878,1391.800049
22-11-2018,1498,112.8000031,182.5,1426.699951,115,701.5999756,668,1047.949951,258.7000122,1401.75
26-11-2018,1461.5,110.5999985,178,1417,115.8000031,720,662,1056,259,1401.800049
27-11-2018,1433.25,108.9000015,178.5,1397,113.3333359,740,659.2999878,1041,262,1457.699951
28-11-2018,1449.949951,109,178.6999969,1406,116.3333359,750,656.0499878,1031.800049,266,1488.75
29-11-2018,1448.900024,106,177.8000031,1451.400024,113.4833298,749,670,1049,260.8500061,1490.25
30-11-2018,1463.199951,105.5,180,1438,114.0666656,750,693.8499756,1050.449951,262.6000061,1547.699951
03-12-2018,1497,106.25,179,1504.900024,113.6666641,760,687.4500122,1056,257,1557.900024
04-12-2018,1519,107.0999985,179.1000061,1477,116.8833313,773.3499756,688.1500244,981.8499756,255.6999969,1616
05-12-2018,1504,106.8000031,172.9499969,1484,118.2333298,751,693,995.0999756,255,1629
06-12-2018,1462,106.6500015,174.6999969,1494.75,115.3333359,747.9000244,691,999.7999878,255.75,1565
07-12-2018,1426,105.8000031,168.3999939,1503,115.3333359,750,676.2000122,993,254,1560
10-12-2018,1419.650024,102.4000015,169.6499939,1500,110.9333344,735,662,986,251.6999969,1498
11-12-2018,1385,103.3000031,164,1499.699951,110.0666656,730,660,981.0499878,247.6999969,1386
12-12-2018,1441.25,110,172.8000031,1550,111.6666641,750.0499878,691,1026,253.8999939,1555
13-12-2018,1499.449951,114.8000031,176.9499969,1560,115.1500015,771.1500244,705.25,1038,251.1999969,1572
14-12-2018,1530.5,111,178.1000061,1584,115.6500015,812,700.2000122,1060.800049,249,1538
17-12-2018,1504,111.6999969,179.75,1596,117.0999985,827.25,717.8499756,1066.050049,252.3000031,1564.449951
18-12-2018,1499.800049,111.0999985,177,1619,117.6666641,840.0999756,703.8499756,1070,253.0500031,1581
19-12-2018,1516,113,179.3500061,1685.099976,118.6666641,843,702.25,1130,255,1570
20-12-2018,1538.300049,115.4000015,192.8000031,1646,118.0999985,830,698,1151.449951,262,1574
21-12-2018,1534.900024,115,190,1645,117.6666641,827.7000122,704.9500122,1159.800049,263.7999878,1576
24-12-2018,1479,116,186,1612.25,115.0333328,804,686.9500122,1155,262,1568
26-12-2018,1442.300049,115,179,1534.699951,115.4666672,802,665.4000244,1174,259.9500122,1566.800049
27-12-2018,1499,119.1999969,179.8000031,1565,118.3333359,804.0499878,682.4000244,1139.900024,262.6000061,1519.949951
28-12-2018,1465,117.25,177.8999939,1580,118.8166656,819,686.0499878,1151.199951,269.0499878,1500
31-12-2018,1486,119.25,178.6999969,1660,119.1999969,811,693,1175,262.6499939,1469.449951
01-01-2019,1516.900024,119.4499969,177.1000061,1610,119.6666641,813,694.4000244,1174.949951,259.9500122,1427.099976
02-01-2019,1487.849976,123.5,179.8999939,1589.400024,120.1833344,815,692,1170,261.9500122,1444
03-01-2019,1483.949951,121.4000015,173.1000061,1567.599976,116.7666626,809.4000244,693,1162.650024,265,1431
04-01-2019,1458,120.4000015,173.0500031,1583,116.75,814.3499756,683.2000122,1156.199951,273,1487
07-01-2019,1482,122.5,178,1592.699951,117.8333359,810.9000244,684.0499878,1125.050049,287.5,1568.5
08-01-2019,1484,122.9000015,179.8000031,1575.300049,118.5333328,801,694,1109.400024,292.7000122,1632.099976
09-01-2019,1484,124.0999985,182.25,1575.099976,118.6666641,781,672,1114.900024,299.8999939,1613.900024
10-01-2019,1455.25,122.5,183.1000061,1608,114.3333359,776.7999878,682.9500122,1089.949951,290.1000061,1634.900024
11-01-2019,1455,123.8000031,182.5,1593.400024,114.5333328,776.0999756,688,1095,285.1000061,1599
14-01-2019,1461.900024,120.9499969,182.3000031,1440,112.6666641,783.9500122,686,1058,276.7000122,1604.949951
15-01-2019,1465,121.3000031,182.5,1385,107.6666641,783,691.25,1077,280.1499939,1655
16-01-2019,1488.699951,121.0999985,185.6000061,1395,108.6666641,782.7000122,682.4500122,1081.699951,280,1675
17-01-2019,1484,121.5,183.6999969,1393,109.6333313,778.2999878,684.7000122,1138,278.5,1687.699951
18-01-2019,1468,119.1999969,184.5,1371,110.8000031,793.2999878,677.5499878,1104.900024,280.6499939,1635
