Date,ACC.BO,ADANIPORTS.BO,AMBUJACEM.BO,BAJFINANCE.BO,BANKBARODA.BO,BHARATFORG.BO,DLF.BO,FEDERALBNK.BO,GAIL.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,NAUKRI.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TATAPOWER.BO,TCS.BO,TECHM.BO,VOLTAS.BO,^BSESN
2020-09-03,1365.0,366.79998779296875,220.89999389648438,3677.0,47.79999923706055,504.0,161.60000610351562,56.20000076293945,96.69999694824219,1135.0,392.79998779296875,192.0,3508.85009765625,2128.0,217.8000030517578,151.60000610351562,61.099998474121094,2265.10009765625,728.0999755859375,647.7999877929688,39165.80078125
2020-09-04,1319.699951171875,361.29998779296875,211.0,3516.5,46.75,489.0,156.0,53.5,95.5,1106.0,373.1000061035156,189.60000610351562,3310.050048828125,2065.60009765625,209.35000610351562,147.39999389648438,59.900001525878906,2242.0,743.2000122070312,650.0,38325.0
2020-09-07,1309.5,354.0,208.60000610351562,3608.0,46.0,488.0,154.89999389648438,54.150001525878906,97.0,1088.0999755859375,373.29998779296875,187.5,3375.0,2080.199951171875,206.1999969482422,150.0,59.900001525878906,2288.0,748.0999755859375,650.0,38284.78125
2020-09-08,1340.0,352.0,210.5500030517578,3515.0,46.25,486.75,152.5,52.900001525878906,96.69999694824219,1115.800048828125,371.54998779296875,189.6999969482422,3400.0,2093.800048828125,207.89999389648438,149.5,57.5,2330.5,748.2000122070312,646.0,38498.0703125
2020-09-09,1319.699951171875,345.6000061035156,206.1999969482422,3475.0,44.54999923706055,468.54998779296875,149.0,51.5,94.55000305175781,1101.0,369.29998779296875,186.0,3320.0,2085.0,200.5500030517578,141.0,55.0,2325.0,745.0,635.5999755859375,37988.55859375
2020-09-10,1348.0,346.0,210.89999389648438,3448.0,45.0,471.6499938964844,152.35000610351562,52.04999923706055,91.30000305175781,1105.0,372.0,184.1999969482422,3355.0,2185.0,197.89999389648438,142.60000610351562,55.849998474121094,2329.0,756.0,656.9000244140625,38516.87890625
2020-09-11,1336.0,349.29998779296875,214.39999389648438,3494.0,45.599998474121094,461.6000061035156,150.14999389648438,51.349998474121094,91.0999984741211,1094.0,372.5,185.0,3400.25,2314.64990234375,198.3000030517578,143.0,56.0,2348.0,745.0,644.0,38865.171875
2020-09-14,1336.0999755859375,344.5,212.60000610351562,3558.0,46.04999923706055,460.0,155.0,52.45000076293945,92.0,1090.0,373.0,185.8000030517578,3390.0,2319.75,206.1999969482422,147.5,57.0,2377.0,768.0,657.0,39073.51171875
2020-09-15,1379.0,355.0,209.0500030517578,3475.85009765625,46.400001525878906,480.0,156.5,54.0,92.05000305175781,1066.0,363.6499938964844,184.0,3440.0,2315.0,199.64999389648438,149.60000610351562,57.20000076293945,2487.5,791.0,695.0,38904.671875
2020-09-16,1393.0,351.54998779296875,218.4499969482422,3515.35009765625,46.5,477.0,156.5,54.45000076293945,92.69999694824219,1069.75,372.70001220703125,181.9499969482422,3580.0,2323.699951171875,199.89999389648438,149.0500030517578,58.20000076293945,2490.0,791.1500244140625,688.7999877929688,39161.01171875
