Date,ADANIPORTS.BO,BAJFINANCE.BO,HDFCBANK.BO,ICICIBANK.BO,ITC.BO,RELIANCE.BO,SBIN.BO,TATAMOTORS.BO,TCS.BO,TECHM.BO
22-06-2018,365.8999939,2269.149902,1030,298.1000061,260.25,1030,268,308.4500122,1828.800049,681
25-06-2018,375,2385,1042.5,299.8999939,265.1499939,1017,273,308.1499939,1812,686.4000244
26-06-2018,360.0499878,2389,1038,287.3999939,262,1003.599976,267,289.7000122,1821,691.0499878
27-06-2018,363.3500061,2380,1042.800049,288.5,265.3999939,980,268,279,1859.800049,695
28-06-2018,360,2358,1056.5,278.7999878,263.5,965.0499878,260,271.2000122,1865,715.0999756
29-06-2018,374,2277,1063.949951,272,262.5,952,257.6000061,265,1846,676.0999756
02-07-2018,372,2299,1043.125,275,268,973,259.8999939,276,1829.949951,655.5499878
03-07-2018,368.8999939,2305,1040,275,264,964,260,268.1000061,1859.949951,658.0999756
04-07-2018,363,2348.699951,1035.275024,273.1499939,266,974.7999878,257,269.6000061,1879,663
05-07-2018,361.8999939,2336,1051.625,273.5,264.9500122,998.7000122,257.1000061,264,1875.199951,660
06-07-2018,362.8999939,2351,1054.5,270.1499939,272.9500122,965.9000244,256.8999939,261.6000061,1882.800049,645
09-07-2018,366,2365,1058.25,272.1000061,275,985.5,258,273.5,1927.949951,640.0499878
10-07-2018,368.8999939,2369,1063.025024,272,275.5,1001.5,262.1000061,276.7999878,1895.199951,650
11-07-2018,370,2370,1071.625,275,276.5,1025,263.4500122,277,1900,651
12-07-2018,378.8999939,2366.899902,1074.025024,271,276.2000122,1043.150024,261.8999939,269.9500122,1984,655.0999756
13-07-2018,374.5499878,2449,1085,272.3999939,277,1082.900024,261.8999939,267.7999878,1975,640.0999756
16-07-2018,376,2477,1090,266.7000122,271,1098.050049,257,261.1499939,1985.050049,641
17-07-2018,359.5,2485,1083.974976,260.9500122,271.7000122,1079,250.9499969,254.3999939,1988,660
18-07-2018,364.2000122,2494.800049,1090.800049,266.75,271.7000122,1097.900024,260,259.8999939,2005.5,654
19-07-2018,367,2500,1098.849976,262.5,269.8999939,1095,259.1000061,253.8000031,1999,650
20-07-2018,369.1499939,2520,1094.5,261.9500122,272.8999939,1110.5,260.8999939,252.4499969,1983.050049,645
23-07-2018,373.6000061,2725,1078.5,265,276,1129.699951,261.5,255.3000031,2000,655
24-07-2018,386.7000122,2760,1077.525024,274.8999939,285.7000122,1122,266.3999939,259.2999878,2009.050049,654.5
25-07-2018,393,2729.800049,1080.050049,274.0499878,284.7000122,1112.25,269.3999939,259.5,2000.150024,641.0999756
26-07-2018,397.7000122,2702.949951,1086.525024,275,287,1113,275,258.1499939,1975,619.5
27-07-2018,402.0499878,2684,1102.949951,285,300,1117.199951,289,259.6499939,1965,634
30-07-2018,395,2720.75,1102.074951,298.2000122,302.7000122,1136,288,269.3500061,1948.550049,649
31-07-2018,390,2671.050049,1085,306.7000122,301.4500122,1150,297.3999939,268.6000061,1943.599976,660
01-08-2018,402.6000061,2720.949951,1089.5,302,297.5,1195,295,248,1951,682
02-08-2018,399,2724,1079.900024,296.1000061,301,1192.349976,293.8999939,264.5,1980.699951,680
03-08-2018,399,2734.800049,1065.125,300,299.1000061,1175,295.3999939,262.6000061,1956.900024,675
06-08-2018,403.8500061,2682,1062.449951,311,304.2000122,1180,300.5,260.9500122,1998,662
07-08-2018,394.8999939,2699,1064.5,315.1499939,304,1196,309.3999939,255,1977,672.9500122
08-08-2018,375.3999939,2755.5,1066.099976,313.1000061,301,1188.400024,305.5,253.0500031,1970,657.25
09-08-2018,376,2818,1070,320,301,1220,313,257,1985.900024,654.1500244
10-08-2018,377.2999878,2825.949951,1059,333.0499878,302,1215,317.7000122,261.3500061,1978.050049,650
13-08-2018,380,2806.800049,1037.5,322,304.7999878,1203,296.3999939,249.5500031,2000,646
14-08-2018,377.3999939,2766.949951,1052.400024,324.6000061,306.3500061,1187.199951,296.9500122,248.6999969,1992,662
16-08-2018,372.7000122,2835,1044,330.8999939,308.1499939,1206.400024,293.9500122,247.5,2002,678
17-08-2018,374.2999878,2864.949951,1042.425049,336.5499878,308,1206,295.8999939,253.6000061,2014,669.4000244
20-08-2018,377.3999939,2857.75,1040,341,314.9500122,1206.5,304,262,2023.5,685
21-08-2018,372,2842.850098,1050,338.3500061,315,1236,308.1000061,271.0499878,2010,691
23-08-2018,379.8999939,2899.899902,1049.025024,337.8999939,314,1244,307.8999939,269.7000122,2020,711.9500122
24-08-2018,386,2895,1039,335.7999878,311.5,1265,301.25,256.3500061,2035.099976,731.7000122
27-08-2018,380,2941,1057,331.25,312.7999878,1280.050049,303.25,257.8999939,2042,720
28-08-2018,380,2984.25,1041.025024,341.1000061,314,1298.75,308.7000122,261,2052.75,741
29-08-2018,384,2931,1048.5,338,312.3999939,1319,306.8999939,260.5,2072.899902,738
30-08-2018,390,2993.949951,1039.224976,339.8999939,314.5499878,1300,310,261.8500061,2070,735
31-08-2018,384,2930,1032.5,345.7999878,321.2000122,1273.800049,307.2999878,259,2080,735
03-09-2018,384,2884.949951,1033.5,342.7000122,322.3500061,1249,312,271.7000122,2080.050049,767
04-09-2018,386,2737.800049,1040,335.7999878,313,1235,307.7000122,270.6000061,2055,754.4000244
05-09-2018,373.2999878,2749,1025.050049,328.6499939,310.2000122,1245,296.8999939,260,2100,766
06-09-2018,382.8999939,2760,1025,330.6000061,311,1230,298.2999878,271,2080,767.4500122
07-09-2018,384,2710,1028,328.7999878,312,1267.699951,296.5,270.7999878,2080,773.0499878
10-09-2018,377.1000061,2723,1025,331.7999878,311,1275,291,276.2999878,2082.949951,770.4000244
11-09-2018,375,2621,1021,333.6499939,306.8999939,1260,288.2999878,277.3999939,2084,773
12-09-2018,368,2610,1003,326.6000061,297.25,1244.449951,283.8999939,269.7999878,2051,753.4000244
14-09-2018,376.5,2634.800049,1012,326.2000122,307.7999878,1261,290,265.1499939,2045,727
17-09-2018,379.5499878,2660,1012,328,305.8999939,1251.900024,289.5,264.7000122,2070,760
18-09-2018,384,2595,996,324.8999939,304.5,1224,285.6000061,258.2000122,2075,765
19-09-2018,382.9500122,2600,1000,319,305,1225,276.0499878,252.3999939,2074,759.1500244
21-09-2018,375.8999939,2521,994,323.8999939,300.9500122,1220.050049,274.8999939,254.75,2078,768
24-09-2018,363,2407,985.5,318,305,1216,272.25,251.8000031,2104,756.9500122
25-09-2018,345.75,2244.699951,963,307.8999939,297.8999939,1233.300049,264.8999939,240,2200,749.8499756
26-09-2018,358,2329.800049,980,315,302.2000122,1235.199951,272.5499878,242,2183,763
27-09-2018,340,2320.550049,990,315,293,1259.800049,264.0499878,235.1000061,2150,749.7000122
28-09-2018,342,2248,990,307,294.7999878,1260,266.8500061,228,2184,745
01-10-2018,329,2171,1007.5,305.2999878,300.6499939,1258.199951,265.5,224.3000031,2186,748
03-10-2018,330.8999939,2212,1021.5,312,299.7000122,1233.099976,274,230,2246.100098,761.2000122
04-10-2018,324.8999939,2180,1008.450012,300,292.5,1199,268.9500122,225,2161,745
05-10-2018,317.0499878,2162,979.9000244,316.5,287,1102.599976,271,223.25,2059.800049,713.5
08-10-2018,300,1998,987.5,306.6000061,279.2999878,1048.849976,259.1499939,216.5500031,2106.5,714.75
09-10-2018,307.2000122,1988.050049,977.5,312.8999939,276,1121.099976,268.7000122,205.8000031,2080,696.0499878
10-10-2018,318,2086,978.5,307.8999939,270,1095,261.9500122,186,2110,698
11-10-2018,321,2100,970,310,265.5499878,1067.800049,268.7999878,184.75,1998.699951,681.6500244
12-10-2018,319,2229.850098,976,313.25,268.8999939,1102.5,265,186,1990,695.0499878
15-10-2018,327.8999939,2318,999,318.7999878,278,1133.300049,263.3500061,185.6999969,1937,696.5
16-10-2018,322.8999939,2325,1005,314.5,283.6000061,1146.150024,264.7999878,184.6000061,1955,694.5
17-10-2018,339.3999939,2348,1007.474976,325,285.5,1180,274.4500122,188.3999939,1974.5,722
19-10-2018,315,2164,983.9500122,314.7000122,285.7999878,1103.900024,260,179.25,1940,719.0999756
22-10-2018,318.1499939,2182,1002.650024,319.6000061,292.7000122,1111,264.5499878,176.8000031,1918,690
23-10-2018,315.1000061,2098.899902,994,322.7000122,286.8999939,1053,258.2999878,170,1890,674.9000244
24-10-2018,324,2162.050049,1000.5,328.1000061,287.2999878,1074,259.5,172.5500031,1858,672.0999756
25-10-2018,311,2295,993.5,319.7999878,286,1036,254.8000031,168.3000031,1845,657
26-10-2018,308.7999878,2335,988.5,320.7999878,290.5499878,1040,254,166.1000061,1857.800049,654.9000244
29-10-2018,305.5,2357.699951,981.5,328.8999939,282,1047.699951,248.9499969,169.1000061,1810,666
